iter	Passed	Remaining
0	620	620035
1	984	491124
2	1334	443551
3	1672	416440
4	2019	401889
5	2378	393962
6	2759	391428
7	3145	390035
8	3516	387181
9	3881	384292
10	4281	384971
11	4623	380666
12	4981	378210
13	5331	375455
14	5680	372996
15	6037	371279
16	6383	369097
17	6735	367460
18	7115	367400
19	7528	368892
20	7875	367130
21	8225	365642
22	8590	364928
23	8942	363666
24	9289	362303
25	9638	361056
26	9988	359945
27	10363	359771
28	10726	359150
29	11098	358846
30	11491	359212
31	11860	358783
32	12226	358269
33	12597	357916
34	12937	356716
35	13284	355726
36	13660	355534
37	14004	354545
38	14347	353536
39	14697	352746
40	15078	352697
41	15428	351913
42	15796	351567
43	16165	351237
44	16537	350972
45	16878	350045
46	17220	349174
47	17558	348251
48	17896	347345
49	18277	347267
50	18655	347142
51	19020	346755
52	19395	346566
53	19760	346175
54	20124	345778
55	20474	345143
56	20831	344636
57	21197	344282
58	21556	343813
59	21919	343413
60	22285	343044
61	22645	342608
62	23016	342325
63	23381	341961
64	23730	341348
65	24086	340854
66	24447	340437
67	24795	339850
68	25158	339455
69	25501	338810
70	25856	338323
71	26260	338462
72	26619	338028
73	26963	337408
74	27325	337014
75	27686	336609
76	28041	336135
77	28397	335669
78	28750	335184
79	29138	335098
80	29509	334808
81	29890	334629
82	30259	334314
83	30626	333972
84	30977	333468
85	31332	332997
86	31694	332608
87	32074	332410
88	32432	331979
89	32782	331468
90	33136	331005
91	33484	330481
92	33891	330534
93	34289	330491
94	34637	329971
95	34983	329427
96	35329	328887
97	35682	328421
98	36035	327960
99	36390	327515
100	36751	327125
101	37112	326736
102	37474	326352
103	37850	326095
104	38210	325700
105	38609	325628
106	38999	325479
107	39347	324981
108	39690	324442
109	40035	323926
110	40387	323464
111	40770	323248
112	41145	322973
113	41506	322588
114	41888	322361
115	42304	322392
116	42677	322090
117	43045	321743
118	43405	321345
119	43762	320928
120	44130	320583
121	44474	320068
122	44853	319808
123	45226	319503
124	45572	319007
125	45944	318696
126	46299	318261
127	46646	317782
128	47007	317393
129	47366	316991
130	47711	316497
131	48061	316043
132	48427	315691
133	48789	315313
134	49168	315040
135	49560	314856
136	49941	314595
137	50322	314333
138	50692	314000
139	51057	313638
140	51438	313371
141	51820	313111
142	52242	313087
143	52604	312704
144	52961	312289
145	53307	311812
146	53654	311340
147	53999	310860
148	54351	310425
149	54704	309994
150	55072	309646
151	55430	309241
152	55780	308799
153	56136	308387
154	56500	308017
155	56850	307575
156	57195	307107
157	57558	306733
158	57904	306273
159	58267	305904
160	58625	305508
161	58983	305113
162	59352	304772
163	59726	304457
164	60091	304100
165	60449	303702
166	60795	303248
167	61141	302796
168	61494	302376
169	61857	302010
170	62206	301574
171	62547	301103
172	62897	300670
173	63248	300247
174	63604	299850
175	63961	299455
176	64309	299020
177	64659	298597
178	65004	298149
179	65353	297723
180	65704	297304
181	66048	296854
182	66392	296410
183	66735	295959
184	67095	295584
185	67448	295178
